"curve_id","n_det","tau","point_id","fidelity","max_success_probability"
1,2,1.,1,0.2757255929766878,0.1294733011806055
1,2,1.,2,0.279749741972506,0.12762601969842352
1,2,1.,3,0.2837738909683242,0.12762601969842352
1,2,1.,4,0.28779803996414244,0.12583204323902966
1,2,1.,5,0.2918221889599606,0.12583204323902966
1,2,1.,6,0.2958463379557788,0.12408733715177715
1,2,1.,7,0.299870486951597,0.12408733715177715
1,2,1.,8,0.3038946359474152,0.12408733715177715
1,2,1.,9,0.30791878494323344,0.12238813293802714
1,2,1.,10,0.3119429339390516,0.12238813293802714
1,2,1.,11,0.3159670829348698,0.12073090919365832
1,2,1.,12,0.319991231930688,0.12073090919365832
1,2,1.,13,0.3240153809265062,0.12073090919365832
1,2,1.,14,0.32803952992232444,0.11911237398302238
1,2,1.,15,0.33206367891814265,0.11911237398302238
1,2,1.,16,0.3360878279139608,0.11752944853356996
1,2,1.,17,0.340111976909779,0.11752944853356996
1,2,1.,18,0.3441361259055972,0.11752944853356996
1,2,1.,19,0.34816027490141543,0.11597925214952703
1,2,1.,20,0.35218442389723364,0.11597925214952703
1,2,1.,21,0.35620857289305186,0.1144590882513791
1,2,1.,22,0.36023272188887,0.1144590882513791
1,2,1.,23,0.3642568708846882,0.1144590882513791
1,2,1.,24,0.36828101988050643,0.11296643145557507
1,2,1.,25,0.37230516887632464,0.11296643145557507
1,2,1.,26,0.37632931787214285,0.11149891561587351
1,2,1.,27,0.380353466867961,0.11149891561587351
1,2,1.,28,0.3843776158637792,0.11149891561587351
1,2,1.,29,0.38840176485959743,0.11005432275417086
1,2,1.,30,0.39242591385541564,0.11005432275417086
1,2,1.,31,0.39645006285123385,0.10863057281453174
1,2,1.,32,0.40047421184705206,0.10863057281453174
1,2,1.,33,0.4044983608428703,0.10863057281453174
1,2,1.,34,0.40852250983868843,0.10722571417953117
1,2,1.,35,0.41254665883450664,0.10722571417953117
1,2,1.,36,0.41657080783032485,0.10583791489296733
1,2,1.,37,0.42059495682614306,0.10583791489296733
1,2,1.,38,0.4246191058219613,0.10446545453753961
1,2,1.,39,0.42864325481777943,0.10446545453753961
1,2,1.,40,0.4326674038135977,0.10446545453753961
1,2,1.,41,0.43669155280941585,0.10310671672026203
1,2,1.,42,0.44071570180523406,0.10310671672026203
1,2,1.,43,0.44473985080105227,0.10176018212221294
1,2,1.,44,0.4487639997968704,0.10176018212221294
1,2,1.,45,0.4527881487926887,0.10042442207275167
1,2,1.,46,0.45681229778850685,0.10042442207275167
1,2,1.,47,0.46083644678432506,0.10042442207275167
1,2,1.,48,0.46486059578014327,0.09909809261158097
1,2,1.,49,0.4688847447759615,0.09909809261158097
1,2,1.,50,0.4729088937717797,0.09777992900502616
1,2,1.,51,0.47693304276759785,0.09777992900502616
1,2,1.,52,0.48095719176341606,0.09646874068566558
1,2,1.,53,0.48498134075923427,0.09646874068566558
1,2,1.,54,0.4890054897550525,0.09516340658699372
1,2,1.,55,0.4930296387508707,0.09516340658699372
1,2,1.,56,0.49705378774668885,0.0938628708471586
1,2,1.,57,0.5010779367425071,0.0938628708471586
1,2,1.,58,0.5051020857383253,0.09256613885799293
1,2,1.,59,0.5091262347341434,0.09256613885799293
1,2,1.,60,0.5131503837299617,0.09127227363758185
1,2,1.,61,0.5171745327257798,0.09127227363758185
1,2,1.,62,0.5211986817215981,0.08998039250648461
1,2,1.,63,0.5252228307174163,0.08998039250648461
1,2,1.,64,0.5292469797132344,0.0886896640494704
1,2,1.,65,0.5332711287090527,0.0886896640494704
1,2,1.,66,0.537295277704871,0.08739930534625148
1,2,1.,67,0.5413194267006891,0.08739930534625148
1,2,1.,68,0.5453435756965073,0.0861085794562097
1,2,1.,69,0.5493677246923254,0.0861085794562097
1,2,1.,70,0.5533918736881437,0.08481679314352526
1,2,1.,71,0.557416022683962,0.08481679314352526
1,2,1.,72,0.5614401716797801,0.08352329483044273
1,2,1.,73,0.5654643206755983,0.08222747276764998
1,2,1.,74,0.5694884696714164,0.08222747276764998
1,2,1.,75,0.5735126186672347,0.08092875341191572
1,2,1.,76,0.577536767663053,0.08092875341191572
1,2,1.,77,0.5815609166588711,0.07962660000223565
1,2,1.,78,0.5855850656546893,0.07832051132677986
1,2,1.,79,0.5896092146505075,0.07832051132677986
1,2,1.,80,0.5936333636463257,0.07701002067392668
1,2,1.,81,0.597657512642144,0.07569469496161178
1,2,1.,82,0.6016816616379621,0.07437413404012293
1,2,1.,83,0.6057058106337803,0.07437413404012293
1,2,1.,84,0.6097299596295985,0.0730479701643373
1,2,1.,85,0.6137541086254168,0.0717158676322299
1,2,1.,86,0.617778257621235,0.07037752258728759
1,2,1.,87,0.6218024066170531,0.07037752258728759
1,2,1.,88,0.6258265556128713,0.0690326629832426
1,2,1.,89,0.6298507046086895,0.06768104871029985
1,2,1.,90,0.6338748536045078,0.06632247188277354
1,2,1.,91,0.637899002600326,0.06495675728877612
1,2,1.,92,0.6419231515961441,0.06358376300331758
1,2,1.,93,0.6459473005919623,0.062203381166876424
1,2,1.,94,0.6499714495877805,0.059420199582787915
1,2,1.,95,0.6539955985835988,0.05801736382716534
1,2,1.,96,0.658019747579417,0.05660707127378902
1,2,1.,97,0.6620438965752351,0.05376447886535319
1,2,1.,98,0.6660680455710533,0.05089358520161431
1,2,1.,99,0.6700921945668715,0.04799630244382456
1,2,1.,100,0.6741163435626898,0.04360715326894078
1,2,1.,101,0.678140492558508,0.033245169194448254
2,2,0.98,1,0.27605333810021854,0.15562647452957418
2,2,0.98,2,0.2824267403094609,0.1528678632229559
2,2,0.98,3,0.28880014251870323,0.15018127443407323
2,2,0.98,4,0.2951735447279456,0.15018127443407323
2,2,0.98,5,0.301546946937188,0.1475639446512278
2,2,0.98,6,0.30792034914643035,0.1475639446512278
2,2,0.98,7,0.31429375135567267,0.1450132030085064
2,2,0.98,8,0.32066715356491504,0.14252646718768713
2,2,0.98,9,0.3270405557741574,0.14252646718768713
2,2,0.98,10,0.3334139579833998,0.1401012395098285
2,2,0.98,11,0.3397873601926421,0.1401012395098285
2,2,0.98,12,0.3461607624018845,0.13773510320662716
2,2,0.98,13,0.35253416461112685,0.13773510320662716
2,2,0.98,14,0.3589075668203692,0.13542571886224006
2,2,0.98,15,0.36528096902961155,0.1331708210168432
2,2,0.98,16,0.3716543712388539,0.1331708210168432
2,2,0.98,17,0.37802777344809624,0.13096821492373467
2,2,0.98,18,0.3844011756573386,0.13096821492373467
2,2,0.98,19,0.390774577866581,0.1288157734523034
2,2,0.98,20,0.39714798007582336,0.1288157734523034
2,2,0.98,21,0.40352138228506573,0.1267114341296645
2,2,0.98,22,0.40989478449430805,0.1267114341296645
2,2,0.98,23,0.4162681867035504,0.12465319631421463
2,2,0.98,24,0.4226415889127928,0.12465319631421463
2,2,0.98,25,0.4290149911220351,0.12263911849479922
2,2,0.98,26,0.4353883933312775,0.12263911849479922
2,2,0.98,27,0.44176179554051986,0.12066731570958705
2,2,0.98,28,0.4481351977497622,0.12066731570958705
2,2,0.98,29,0.45450859995900456,0.11873595707914199
2,2,0.98,30,0.46088200216824693,0.11873595707914199
2,2,0.98,31,0.46725540437748925,0.11684326344855714
2,2,0.98,32,0.4736288065867317,0.11684326344855714
2,2,0.98,33,0.480002208795974,0.11498750513387113
2,2,0.98,34,0.4863756110052163,0.11498750513387113
2,2,0.98,35,0.49274901321445874,0.11316699976833511
2,2,0.98,36,0.49912241542370106,0.11316699976833511
2,2,0.98,37,0.5054958176329434,0.11138011024442877
2,2,0.98,38,0.5118692198421858,0.10962524274784928
2,2,0.98,39,0.5182426220514281,0.10962524274784928
2,2,0.98,40,0.5246160242606706,0.10790084488001037
2,2,0.98,41,0.5309894264699129,0.10790084488001037
2,2,0.98,42,0.5373628286791552,0.10620540386589701
2,2,0.98,43,0.5437362308883975,0.10620540386589701
2,2,0.98,44,0.5501096330976399,0.10453744484442586
2,2,0.98,45,0.5564830353068824,0.10453744484442586
2,2,0.98,46,0.5628564375161247,0.10289552923875964
2,2,0.98,47,0.569229839725367,0.10289552923875964
2,2,0.98,48,0.5756032419346093,0.10127825320432611
2,2,0.98,49,0.5819766441438516,0.10127825320432611
2,2,0.98,50,0.5883500463530941,0.09968424615258853
2,2,0.98,51,0.5947234485623365,0.09968424615258853
2,2,0.98,52,0.6010968507715788,0.09811216934892066
2,2,0.98,53,0.6074702529808211,0.09811216934892066
2,2,0.98,54,0.6138436551900635,0.09656071458324415
2,2,0.98,55,0.6202170573993059,0.09656071458324415
2,2,0.98,56,0.6265904596085483,0.09502860291240203
2,2,0.98,57,0.6329638618177906,0.09502860291240203
2,2,0.98,58,0.639337264027033,0.09351458347356435
2,2,0.98,59,0.6457106662362753,0.09351458347356435
2,2,0.98,60,0.6520840684455176,0.09201743236829865
2,2,0.98,61,0.65845747065476,0.09201743236829865
2,2,0.98,62,0.6648308728640024,0.0905359516172867
2,2,0.98,63,0.6712042750732448,0.0905359516172867
2,2,0.98,64,0.6775776772824871,0.08906896818603637
2,2,0.98,65,0.6839510794917294,0.08906896818603637
2,2,0.98,66,0.6903244817009718,0.0876153330823257
2,2,0.98,67,0.6966978839102141,0.0876153330823257
2,2,0.98,68,0.7030712861194566,0.08617392052652714
2,2,0.98,69,0.7094446883286989,0.08474362719640051
2,2,0.98,70,0.7158180905379412,0.08474362719640051
2,2,0.98,71,0.7221914927471835,0.08332337154841485
2,2,0.98,72,0.728564894956426,0.08332337154841485
2,2,0.98,73,0.7349382971656684,0.08191209321816775
2,2,0.98,74,0.7413116993749107,0.08191209321816775
2,2,0.98,75,0.747685101584153,0.08050875250302178
2,2,0.98,76,0.7540585037933953,0.07911232993067721
2,2,0.98,77,0.7604319060026378,0.07911232993067721
2,2,0.98,78,0.7668053082118801,0.07772182591805224
2,2,0.98,79,0.7731787104211225,0.0763362605255576
2,2,0.98,80,0.7795521126303648,0.0763362605255576
2,2,0.98,81,0.7859255148396072,0.07495467331263768
2,2,0.98,82,0.7922989170488495,0.07357612330131312
2,2,0.98,83,0.7986723192580918,0.07357612330131312
2,2,0.98,84,0.8050457214673343,0.07219968905541477
2,2,0.98,85,0.8114191236765766,0.07082446888425162
2,2,0.98,86,0.817792525885819,0.07082446888425162
2,2,0.98,87,0.8241659280950613,0.06944958118062569
2,2,0.98,88,0.8305393303043036,0.06807416490440321
2,2,0.98,89,0.8369127325135461,0.06669738022429554
2,2,0.98,90,0.8432861347227885,0.06669738022429554
2,2,0.98,91,0.8496595369320308,0.06531840933211294
2,2,0.98,92,0.8560329391412731,0.06393645744554749
2,2,0.98,93,0.8624063413505154,0.06255075401755006
2,2,0.98,94,0.8687797435597577,0.061160554172611875
2,2,0.98,95,0.8751531457690003,0.05976514039277725
2,2,0.98,96,0.8815265479782426,0.05836382447904127
2,2,0.98,97,0.8878999501874849,0.05554089397886793
2,2,0.98,98,0.8942733523967272,0.054118071699139944
2,2,0.98,99,0.9006467546059695,0.051246993358034225
2,2,0.98,100,0.9070201568152121,0.0483389166245294
